Agent,env_n,explored_states,success
BFSAgent,0,10816,True
BFSAgent,1,8124,True
BFSAgent,2,11292,True
BFSAgent,3,14317,True
BFSAgent,4,10159,True
BFSAgent,5,2384,True
BFSAgent,6,12748,True
BFSAgent,7,5,True
BFSAgent,8,3086,True
BFSAgent,9,11170,True
BFSAgent,10,13116,True
BFSAgent,11,5963,True
BFSAgent,12,11502,True
BFSAgent,13,2017,True
BFSAgent,14,1095,True
BFSAgent,15,13372,True
BFSAgent,16,9092,True
BFSAgent,17,2265,True
BFSAgent,18,1400,True
BFSAgent,19,6563,True
BFSAgent,20,11952,True
BFSAgent,21,15296,True
BFSAgent,22,14972,True
BFSAgent,23,14402,True
BFSAgent,24,7130,True
BFSAgent,25,13662,True
BFSAgent,26,6422,True
BFSAgent,27,1010,True
BFSAgent,28,5764,True
BFSAgent,29,3016,True
DFSAgent,0,2657,True
DFSAgent,1,1959,True
DFSAgent,2,5738,True
DFSAgent,3,10354,True
DFSAgent,4,7911,True
DFSAgent,5,4605,True
DFSAgent,6,6541,True
DFSAgent,7,2,True
DFSAgent,8,11627,True
DFSAgent,9,3915,True
DFSAgent,10,9671,True
DFSAgent,11,4091,True
DFSAgent,12,1807,True
DFSAgent,13,15165,True
DFSAgent,14,12985,True
DFSAgent,15,8608,True
DFSAgent,16,4250,True
DFSAgent,17,80,True
DFSAgent,18,13300,True
DFSAgent,19,4298,True
DFSAgent,20,5831,True
DFSAgent,21,1593,True
DFSAgent,22,3554,True
DFSAgent,23,1827,True
DFSAgent,24,3926,True
DFSAgent,25,242,True
DFSAgent,26,7628,True
DFSAgent,27,3588,True
DFSAgent,28,10633,True
DFSAgent,29,3375,True
DFSLimitedAgent,0,2657,True
DFSLimitedAgent,1,1959,True
DFSLimitedAgent,2,8872,False
DFSLimitedAgent,3,7252,False
DFSLimitedAgent,4,10533,False
DFSLimitedAgent,5,5887,True
DFSLimitedAgent,6,8723,False
DFSLimitedAgent,7,2,True
DFSLimitedAgent,8,3326,True
DFSLimitedAgent,9,7770,False
DFSLimitedAgent,10,8732,False
DFSLimitedAgent,11,3365,True
DFSLimitedAgent,12,1297,True
DFSLimitedAgent,13,11438,True
DFSLimitedAgent,14,3330,True
DFSLimitedAgent,15,13390,False
DFSLimitedAgent,16,3402,True
DFSLimitedAgent,17,80,True
DFSLimitedAgent,18,12572,True
DFSLimitedAgent,19,7859,True
DFSLimitedAgent,20,9373,True
DFSLimitedAgent,21,2212,True
DFSLimitedAgent,22,711,True
DFSLimitedAgent,23,1935,True
DFSLimitedAgent,24,3429,True
DFSLimitedAgent,25,242,True
DFSLimitedAgent,26,11980,True
DFSLimitedAgent,27,3278,True
DFSLimitedAgent,28,13534,True
DFSLimitedAgent,29,3319,True
UniformAgent,0,10709,True
UniformAgent,1,8014,True
UniformAgent,2,11248,True
UniformAgent,3,14299,True
UniformAgent,4,10187,True
UniformAgent,5,2441,True
UniformAgent,6,12762,True
UniformAgent,7,4,True
UniformAgent,8,3174,True
UniformAgent,9,11103,True
UniformAgent,10,13033,True
UniformAgent,11,5936,True
UniformAgent,12,11416,True
UniformAgent,13,2098,True
UniformAgent,14,1552,True
UniformAgent,15,1744,True
UniformAgent,16,8972,True
UniformAgent,17,2193,True
UniformAgent,18,6560,True
UniformAgent,19,6793,True
UniformAgent,20,2946,True
UniformAgent,21,15312,True
UniformAgent,22,1470,True
UniformAgent,23,14382,True
UniformAgent,24,4748,True
UniformAgent,25,13629,True
UniformAgent,26,11369,True
UniformAgent,27,12678,True
UniformAgent,28,295,True
UniformAgent,29,12094,True
